game_pk,kalshi_ticker_home,mapping_source,mapped_at_utc
822752,KXMLBGAME-26APR171845SFWSH-WSH,auto_kxmlbgame,2026-04-15T02:31:26.457984+00:00
823071,KXMLBGAME-26APR151315CLESTL-STL,auto_kxmlbgame,2026-04-14T17:37:38.942153+00:00
823072,KXMLBGAME-26APR141945CLESTL-STL,auto_kxmlbgame,2026-04-14T17:37:38.941824+00:00
823152,KXMLBGAME-26APR172140TEXSEA-SEA,auto_kxmlbgame,2026-04-15T02:31:26.458673+00:00
823313,KXMLBGAME-26APR162040SEASD-SD,auto_kxmlbgame,2026-04-14T21:30:26.940470+00:00
823314,KXMLBGAME-26APR152140SEASD-SD,auto_kxmlbgame,2026-04-14T21:30:26.939542+00:00
823315,KXMLBGAME-26APR142140SEASD-SD,auto_kxmlbgame,2026-04-14T21:19:00.395697+00:00
823396,KXMLBGAME-26APR161235WSHPIT-PIT,auto_kxmlbgame,2026-04-14T18:29:22.026272+00:00
823397,KXMLBGAME-26APR171845TBPIT-PIT,auto_kxmlbgame,2026-04-15T02:31:26.458045+00:00
823398,KXMLBGAME-26APR141840WSHPIT-PIT,auto_kxmlbgame,2026-04-14T17:37:38.941328+00:00
823399,KXMLBGAME-26APR151840WSHPIT-PIT,auto_kxmlbgame,2026-04-14T18:29:22.025364+00:00
823476,KXMLBGAME-26APR171840ATLPHI-PHI,auto_kxmlbgame,2026-04-15T02:31:26.457922+00:00
823477,KXMLBGAME-26APR151840CHCPHI-PHI,auto_kxmlbgame,2026-04-14T17:37:38.942416+00:00
823478,KXMLBGAME-26APR141840CHCPHI-PHI,auto_kxmlbgame,2026-04-14T17:37:38.941482+00:00
823559,KXMLBGAME-26APR171905KCNYY-NYY,auto_kxmlbgame,2026-04-15T02:31:26.458108+00:00
823560,KXMLBGAME-26APR161335LAANYY-NYY,auto_kxmlbgame,2026-04-14T18:29:22.026477+00:00
823561,KXMLBGAME-26APR151905LAANYY-NYY,auto_kxmlbgame,2026-04-14T18:29:22.025640+00:00
823562,KXMLBGAME-26APR141905LAANYY-NYY,auto_kxmlbgame,2026-04-14T17:37:38.941554+00:00
823720,KXMLBGAME-26APR172010CINMIN-MIN,auto_kxmlbgame,2026-04-15T02:31:26.458456+00:00
823722,KXMLBGAME-26APR151340BOSMIN-MIN,auto_kxmlbgame,2026-04-14T17:37:38.942220+00:00
823723,KXMLBGAME-26APR141940BOSMIN-MIN,auto_kxmlbgame,2026-04-14T17:37:38.941692+00:00
